Year,Renew,Country
1990,62.37871882,Canada
1991,61.41041299,Canada
1992,61.67921442,Canada
1993,61.72232798,Canada
1994,60.40045134,Canada
1995,61.00409818,Canada
1996,63.10607423,Canada
1997,62.35094142,Canada
1998,60.40605432,Canada
1999,61.18370484,Canada
2000,60.60030119,Canada
2001,58.03265624,Canada
2002,59.88641921,Canada
2003,58.91556496,Canada
2004,58.44631709,Canada
2005,60.02942674,Canada
2006,59.54428822,Canada
2007,60.29627226,Canada
2008,61.4725274,Canada
2009,62.85034733,Canada
2010,61.39675684,Canada
2011,62.33825013,Canada
2012,63.23056117,Canada
2013,63.29803306,Canada
2014,62.82499222,Canada
2015,63.01145004,Canada
1990,13.36987864,France
1991,13.22019787,France
1992,15.45397827,France
1993,14.23835419,France
1994,17.05819513,France
1995,15.36112508,France
1996,13.44862126,France
1997,13.26453416,France
1998,12.76785749,France
1999,14.4667397,France
2000,12.96787647,France
2001,14.25637189,France
2002,11.59727616,France
2003,11.23001795,France
2004,11.24298852,France
2005,9.860646697,France
2006,10.94757583,France
2007,11.69092631,France
2008,12.97920893,France
2009,13.12716357,France
2010,13.85735931,France
2011,11.57474725,France
2012,14.82735407,France
2013,17.04528624,France
2014,16.45590494,France
2015,15.85766663,France
1990,3.486350771,Germany
1991,3.168752543,Germany
1992,3.697964293,Germany
1993,3.927370442,Germany
1994,4.461686389,Germany
1995,4.866989231,Germany
1996,4.821397117,Germany
1997,4.208309687,Germany
1998,4.508169269,Germany
1999,5.197223756,Germany
2000,6.198531223,Germany
2001,6.512444018,Germany
2002,7.642700282,Germany
2003,7.552977702,Germany
2004,9.267474493,Germany
2005,10.15021111,Germany
2006,11.32201311,Germany
2007,13.93800806,Germany
2008,14.6992339,Germany
2009,16.07855368,Germany
2010,16.72707367,Germany
2011,20.38328272,Germany
2012,23.00045854,Germany
2013,24.07254975,Germany
2014,26.13009657,Germany
2015,29.23177012,Germany
1990,16.37602218,Italy
1991,20.84651337,Italy
1992,20.55391884,Italy
1993,20.57976291,Italy
1994,21.08944653,Italy
1995,17.46600158,Italy
1996,19.30801427,Italy
1997,18.74300271,Italy
1998,18.32252469,Italy
1999,19.79325375,Italy
2000,18.84819275,Italy
2001,19.98867206,Italy
2002,17.40880331,Italy
2003,16.37080041,Italy
2004,18.21338373,Italy
2005,16.31821857,Italy
2006,16.45644494,Italy
2007,15.48072493,Italy
2008,18.55119336,Italy
2009,24.01893631,Italy
2010,25.76035987,Italy
2011,27.59472872,Italy
2012,31.02039032,Italy
2013,38.90534856,Italy
2014,43.39160638,Italy
2015,38.67922518,Italy
1990,11.25473751,Japan
1991,11.85673487,Japan
1992,10.16288776,Japan
1993,11.45452775,Japan
1994,7.993026253,Japan
1995,9.416323187,Japan
1996,9.146209229,Japan
1997,9.85379466,Japan
1998,9.929944802,Japan
1999,9.224743268,Japan
2000,9.116049011,Japan
2001,8.965438076,Japan
2002,8.708705683,Japan
2003,10.02210957,Japan
2004,9.795827169,Japan
2005,8.407113732,Japan
2006,9.449098226,Japan
2007,8.201786899,Japan
2008,8.789326611,Japan
2009,9.145716508,Japan
2010,10.53177716,Japan
2011,11.4628446,Japan
2012,11.19424738,Japan
2013,12.20529179,Japan
2014,14.05935936,Japan
2015,15.98478072,Japan
1990,1.828767447,United Kingdom
1991,1.656439045,United Kingdom
1992,2.005661571,United Kingdom
1993,1.777625791,United Kingdom
1994,2.139841981,United Kingdom
1995,2.066534532,United Kingdom
1996,1.627480225,United Kingdom
1997,1.989231915,United Kingdom
1998,2.395320692,United Kingdom
1999,2.632717317,United Kingdom
2000,2.663105175,United Kingdom
2001,2.497332413,United Kingdom
2002,2.893173338,United Kingdom
2003,2.684947302,United Kingdom
2004,3.613032166,United Kingdom
2005,4.283481612,United Kingdom
2006,4.602089317,United Kingdom
2007,5.01029338,United Kingdom
2008,5.677052205,United Kingdom
2009,6.766808463,United Kingdom
2010,6.812813426,United Kingdom
2011,9.489053101,United Kingdom
2012,11.42396018,United Kingdom
2013,14.98848014,United Kingdom
2014,19.26285368,United Kingdom
2015,24.84005042,United Kingdom
1990,11.52864685,United States
1991,10.75741423,United States
1992,9.916110117,United States
1993,10.48432561,United States
1994,9.747235524,United States
1995,10.80108499,United States
1996,11.58145005,United States
1997,10.97782813,United States
1998,9.608584982,United States
1999,9.069200581,United States
2000,8.205996942,United States
2001,6.783992314,United States
2002,8.646361178,United States
2003,8.889376121,United States
2004,8.630185532,United States
2005,8.578465534,United States
2006,9.244631183,United States
2007,8.367763936,United States
2008,9.003541347,United States
2009,10.29184507,United States
2010,10.12035515,United States
2011,12.22571352,United States
2012,12.00739706,United States
2013,12.63791912,United States
2014,12.95382709,United States
2015,13.22859321,United States
1990,13.43418237,European Union
1991,13.77592747,European Union
1992,14.44904474,European Union
1993,14.88810427,European Union
1994,15.16402648,European Union
1995,14.83876717,European Union
1996,14.42449253,European Union
1997,14.81844962,European Union
1998,15.21744872,European Union
1999,15.15052399,European Union
2000,15.52892068,European Union
2001,16.17962738,European Union
2002,14.36759553,European Union
2003,14.18338216,European Union
2004,15.30979636,European Union
2005,15.33085038,European Union
2006,15.89475142,European Union
2007,16.79032191,European Union
2008,18.21959611,European Union
2009,20.27256827,European Union
2010,22.10555373,European Union
2011,22.15848905,European Union
2012,25.00920753,European Union
2013,27.90496965,European Union
2014,29.57946632,European Union
2015,29.7153525,European Union
